date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:17	299213/299213	---M-Z	200	added ('OK')	text/html	etag:%22490cd-622990d0d621e-gzip%22	https://themesflat.co/html/ecomus/shop-left-sidebar.html	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/shop-left-sidebar.html	(from )
10:20:17	992/992	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2024%20Sep%202024%2009:20:17%20GMT	https://themesflat.co/robots.txt		(from )
10:20:18	26812/26812	---M--	200	added ('OK')	text/css	etag:%2268bc-6216d847a3b1c%22	https://themesflat.co/html/ecomus/fonts/fonts.css	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/fonts/fonts.css	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:18	6038/6038	---M--	200	added ('OK')	text/css	etag:%221796-6216d847950bb%22	https://themesflat.co/html/ecomus/fonts/font-icons.css	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/fonts/font-icons.css	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:19	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-62238addae0c9%22	https://themesflat.co/html/ecomus/css/swiper-bundle.min.css	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/css/swiper-bundle.min.css	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:19	298776/298776	---M--	200	added ('OK')	text/css	etag:%2248f18-62238ad722bb8%22	https://themesflat.co/html/ecomus/css/bootstrap.min.css	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/css/bootstrap.min.css	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:20	54315/54315	---M--	200	added ('OK')	text/css	etag:%22d42b-62238ad55e93e%22	https://themesflat.co/html/ecomus/css/animate.css	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/css/animate.css	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:20	384516/384516	---M--	200	added ('OK')	text/css	etag:%225de04-622d841e4db1b%22	https://themesflat.co/html/ecomus/css/styles.css	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/css/styles.css	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:20	2882/2882	---M--	200	added ('OK')	image/png	etag:%22b42-6216da776dafe%22	https://themesflat.co/html/ecomus/images/logo/favicon.png	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/logo/favicon.png	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:21	275926/275926	---M-Z	200	added ('OK')	text/html	etag:%22435d6-622990cbc8e6b-gzip%22	https://themesflat.co/html/ecomus/shop-default.html	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/shop-default.html	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:21	265/265	---M--	200	added ('OK')	image/svg+xml	etag:%22109-6216da2d8c169%22	https://themesflat.co/html/ecomus/images/country/fr.svg	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/country/fr.svg	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:21	238/238	---M--	200	added ('OK')	image/svg+xml	etag:%22ee-6216da2dd45ad%22	https://themesflat.co/html/ecomus/images/country/de.svg	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/country/de.svg	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:21	6006/6006	---M--	200	added ('OK')	image/svg+xml	etag:%221776-6216da2f3db02%22	https://themesflat.co/html/ecomus/images/country/us.svg	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/country/us.svg	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:21	490/490	---M--	200	added ('OK')	image/svg+xml	etag:%221ea-6216da30a5ccf%22	https://themesflat.co/html/ecomus/images/country/vn.svg	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/country/vn.svg	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:22	297552/297552	---M-Z	200	added ('OK')	text/html	etag:%2248a50-6229908670741-gzip%22	https://themesflat.co/html/ecomus/index.html	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/index.html	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:22	5426/5426	---M--	200	added ('OK')	image/svg+xml	etag:%221532-6216da7d9d733%22	https://themesflat.co/html/ecomus/images/logo/logo.svg	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/logo/logo.svg	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
10:20:22	17361/17361	---M--	200	added ('OK')	image/jpeg	etag:%2243d1-6216da3475668%22	https://themesflat.co/html/ecomus/images/demo/home-01.jpg	C:/Users/user/Desktop/templateConstructo/h/themesflat.co/html/ecomus/images/demo/home-01.jpg	(from https://themesflat.co/html/ecomus/shop-left-sidebar.html)
